step_id	question	yes_next	no_next	yes_effect	no_effect
S21_3_2_6_1	血管は下肢の外腸骨動脈以上か？	S22_1	S21_3_2_6_2	87番対象血管=下肢対象	
S21_3_2_6_2	血管は下肢の大腿動脈以下か？	S21_X	S21_3_2_6_3	この手術=対象外(大腿動脈以下)	
S21_3_2_6_3	血管は上肢の鎖骨下・腋窩動脈以上か？	S22_1	S21_3_2_6_4	87番対象血管=上肢対象	
S21_3_2_6_4	血管は上肢の上腕動脈以下か？	S21_X	S21_X	この手術=対象外(上腕動脈以下)	この手術=対象外(四肢血管)
S21_X	この手術を対象外として記録	S28_LOOP	S28_LOOP	この手術=対象外	この手術=対象外
―― 手術番号・倍率判定 ――					
S22_1	請求内容に主契約手術給付金が含まれるか？	S22_2	S23_1		主契約手術給付金=請求なし
S22_2	手術番号・倍率を確認（AI参照：手術名・傷病名・手技・部位・K番号等から候補提示。マスタ・基準書と照合し確定）	S23_1	S22_X	手術番号・倍率=確定	この手術=対象外
S22_X	この手術を主契約対象外として記録	S23_1	S23_1	主契約手術給付金=対象外	主契約手術給付金=対象外
―― 81特約判定（手術）――					
S23_1	契約に81特約（入院総合保障特約81）が付加されているか？	S23_2_1	S24_1		81特約=未付加
S23_2_1	主契約で適用した手術番号について、現行倍率表が高倍率または支払対象か？	S23_2_2	S23_2_3		
S23_2_2	現行倍率表を遡及適用	S24_1	S24_1	81特約適用=現行表遡及	81特約適用=現行表遡及
S23_2_3	81特約の倍率表が高倍率か？	S23_2_4	S24_1		81特約=現行と同等
S23_2_4	81特約の倍率表を適用	S24_1	S24_1	81特約適用=81特約表	81特約適用=81特約表
―― 入院時手術給付特約判定 ――					
S24_1	契約に入院時手術給付特約が付加されているか？	S24_2_1	S25_1		入院時手術特約=未付加
S24_2_1	主契約の手術給付金が支払われる手術か？	S25_1	S24_2_2	入院時手術給付金=対象外(二重払い不可)	
S24_2_2	公的医療保険の診療報酬点数表で手術料（K算定）があるか？	S24_2_3	S24_2_2_1		
S24_2_2_1	手術施行日はR1.10.1以降か？	S24_2_3	S25_1	K算定例外=適用	入院時手術給付金=対象外(K算定なし)
S24_2_3	手術は1日以上の入院（日帰り含む）を伴うか？	S24_2_4	S25_1		入院時手術給付金=対象外(入院なし)
S24_2_4	手術は神経ブロックか？	S25_1	S24_2_5	入院時手術給付金=対象外(除外規定)	
S24_2_5	手術は屈折矯正手術か？	S25_1	S24_2_6	入院時手術給付金=対象外(除外規定)	
S24_2_6	手術は抜歯手術か？	S25_1	S24_2_7	入院時手術給付金=対象外(除外規定)	
S24_2_7	手術は60日規定により主契約非該当となった手術か？	S25_1	S24_2_8	入院時手術給付金=対象外(除外規定)	
S24_2_8	入院時手術給付金=支払対象	S25_1	S25_1	入院時手術給付金=支払対象;倍率=10倍	入院時手術給付金=支払対象;倍率=10倍
―― 60日規定判定 ――					
S25_1	該当手術番号は60日規定の対象か？（71番/81番/86番/87番/88番）	S25_1_1	S26_1		60日規定=対象外
S25_1_1	前回同一手術番号の支払から60日以内か？（過去履歴＋今回申請内の先行処理分を参照）	S25_1_2	S26_1		60日規定=適用外(60日超過)
S25_1_2	手術原因は同一疾患または医学上重要な因果関係があるか？	S25_1_5	S25_1_3		
S25_1_3	手術原因は同一の事故か？	S25_1_5	S25_1_4		
S25_1_4	術後疾患や薬剤性疾患等の治療関連性があるか？	S25_1_5	S26_1		60日規定=適用外(関連なし)
S25_1_5	手術番号は71番（眼球手術）か？	S25_1_5_1	S25_1_6		
S25_1_5_1	前回手術と今回手術は同一眼か？（左眼⇔右眼間は適用しない）	S25_1_7	S26_1		60日規定=適用外(左右別眼)
S25_1_6	手術番号は81番または88番か？	S25_1_6_1	S25_1_7		
S25_1_6_1	便宜的適用手術と本来適用手術の組み合わせか？	S26_1	S25_1_7	60日規定=適用外(便宜的例外)	
S25_1_7	60日規定を適用	S26_1	S26_1	60日規定=適用;主契約手術給付金=対象外	60日規定=適用;主契約手術給付金=対象外
―― 同日同倍率・履歴依存判定 ――					
S26_1	同日に同倍率の手術が複数あるか？（今回申請内の前提条件OK手術同士）	S26_1_1	S26_2_1		同日同倍率=なし
S26_1_1	採用手術を決定（1件採用、他は対象外として記録）	S26_2_1	S26_2_1	同日同倍率=処理済	同日同倍率=処理済
―― 履歴依存の番号変更 ――					
S26_2_1	80番（悪性新生物根治手術）判定かつ同一悪性新生物で80番支払済か？（過去履歴＋今回先行処理分）	S26_2_2	S26_2_3		80番→82番変更=不要
S26_2_2	手術番号を82番に変更	S26_2_3	S26_2_3	手術番号=82;倍率=20倍	手術番号=82;倍率=20倍
S26_2_3	82番（乳房再建術）判定かつ同一乳房で支払済か？（過去履歴＋今回先行処理分）	S26_2_4	S26_2_5	この手術=対象外(1乳房1回限り)	乳房再建制限=該当なし
S26_2_4	この手術を対象外として記録	S26_2_5	S26_2_5	主契約手術給付金=対象外	主契約手術給付金=対象外
S26_2_5	89番（骨髄幹細胞採取術）判定かつH26.10.1以前施行かつ支払済か？（過去履歴＋今回先行処理分）	S26_2_6	S26_3_1	この手術=対象外(1回限り超過)	89番制限=該当なし
S26_2_6	この手術を対象外として記録	S26_3_1	S26_3_1	主契約手術給付金=対象外	主契約手術給付金=対象外
―― 同時手術判定 ――					
S26_3_1	同一の手術室入退室の一連性において2種類以上の手術を受けたか？（同日とは限らない）	S26_3_2	S27_1		同時手術=なし
S26_3_2	手術室に入室してから退室するまでの一連性があるか？	S26_3_3	S26_3_5		
S26_3_3	一旦手術室を退室後に他の手術を施行した証明があるか？	S26_3_4	S26_3_6		
S26_3_4	計画された一連の手術（補完的・補助的手術）ではないか？	S26_3_5	S26_3_6		同時手術判定=同時
S26_3_5	非同時手術として各々支払対象	S27_1	S27_1	同時手術判定=非同時;支払回数=複数	同時手術判定=非同時;支払回数=複数
S26_3_6	新生物根治放射線照射との同日施行か？（術中照射、1回定位照射以外）	S26_3_7	S26_3_8		
S26_3_7	放射線照射と他手術は各々支払対象	S27_1	S27_1	同時手術判定=各々支払(放射線例外)	同時手術判定=各々支払(放射線例外)
S26_3_8	複数手術の倍率は異なるか？	S26_3_9	S26_3_10		
S26_3_9	最高倍率の1種類のみ支払	S27_1	S27_1	同時手術判定=最高倍率選択	同時手術判定=最高倍率選択
S26_3_10	総支払金額が多くなる方を選択	S27_1	S27_1	同時手術判定=有利選択	同時手術判定=有利選択
―― 手術給付金額算定（当該手術）――					
S27_1	入院給付日額を確認	S27_1_1	S27_1_1		
S27_1_1	主契約手術給付金=入院給付日額×手術倍率を算定	S27_1_2	S27_1_2		
S27_1_2	入院時手術給付特約が支払対象か？	S27_1_3	S27_1_4		
S27_1_3	入院時手術給付金=入院給付日額×10倍を算定	S27_1_4	S27_1_4		
S27_1_4	当該手術の給付金額を記録	S28_LOOP	S28_LOOP	当該手術算定=完了	当該手術算定=完了
―― ループ制御 ――					
S28_LOOP	未処理の前提条件OK手術が残っているか？	S20_2	S30_1	次の手術へ	全手術処理完了→最終算定へ
═══════════════════════════════════════════════════════════════════════════════					
【フェーズ6：最終算定（統合）】					
═══════════════════════════════════════════════════════════════════════════════					
S30_1	入院給付金合計を算定	S30_2	S30_2	入院給付金合計=算定済	入院給付金合計=算定済
S30_2	手術給付金合計を算定	S30_3	S30_3	手術給付金合計=算定済	手術給付金合計=算定済
S30_3	未払保険料控除が必要か？	S30_4	S30_5	未払保険料控除=要	未払保険料控除=不要
S30_4	未払保険料控除額を算定	S30_5	S30_5	控除額(未払保険料)=算定済	控除額(未払保険料)=算定済
S30_5	契約日変更に伴う保険料控除が必要か？	S30_6	S30_7	契約日変更控除=要	契約日変更控除=不要
S30_6	契約日変更に伴う保険料控除額を算定	S30_7	S30_7	控除額(契約日変更)=算定済	控除額(契約日変更)=算定済
S30_7	最終支払金額算定（入院給付金合計＋手術給付金合計－控除合計）	S30_8	S30_8	最終支払金額=算定済	最終支払金額=算定済
S30_8	通算管理データ更新処理（事故日・退院日・累計支払日数・残り限度日数・手術履歴等）	END	END	通算管理=更新済	通算管理=更新済
